Date,Max,Min
2/1/2016,93,73
2/2/2016,95,77
2/3/2016,95,75
2/4/2016,95,75
2/5/2016,93,70
2/6/2016,93,73
2/7/2016,93,73
2/8/2016,97,77
2/9/2016,93,75
2/10/2016,90,73
2/11/2016,97,75
2/12/2016,97,77
2/13/2016,95,77
2/14/2016,93,77
2/15/2016,91,76
2/16/2016,93,77
2/17/2016,95,77
2/18/2016,97,77
2/19/2016,93,77
2/20/2016,97,74
2/21/2016,93,75
2/22/2016,91,75
2/23/2016,91,73
2/24/2016,90,73
2/25/2016,90,79
2/26/2016,91,73
2/27/2016,93,79
2/28/2016,93,77
2/29/2016,88,73
3/1/2016,93,77
3/2/2016,86,73
3/3/2016,91,73
3/4/2016,93,77
3/5/2016,88,75
3/6/2016,88,77
3/7/2016,91,76
3/8/2016,93,75
3/9/2016,90,76
3/10/2016,84,77
3/11/2016,86,73
3/12/2016,86,75
3/13/2016,88,75
3/14/2016,90,73
3/15/2016,90,73
3/16/2016,90,74
3/17/2016,95,73
3/18/2016,97,77
3/19/2016,90,73
3/20/2016,90,73
3/21/2016,93,77
3/22/2016,93,77
3/23/2016,93,75
3/24/2016,90,77
3/25/2016,81,73
3/26/2016,82,72
3/27/2016,88,75
3/28/2016,91,75
3/29/2016,91,70
3/30/2016,90,73
3/31/2016,97,73
4/1/2016,97,77
4/2/2016,97,77
4/3/2016,95,73
4/4/2016,97,75
4/5/2016,93,75
4/6/2016,97,75
4/7/2016,97,77
4/8/2016,99,79
4/9/2016,91,77
4/10/2016,95,75
4/11/2016,91,75
4/12/2016,90,75
4/13/2016,91,74
4/14/2016,90,73
4/15/2016,90,73
4/16/2016,95,75
4/17/2016,95,75
4/18/2016,97,75
4/19/2016,97,73
4/20/2016,95,77
4/21/2016,95,77
4/22/2016,97,79
4/23/2016,97,79
4/24/2016,95,77
4/25/2016,93,75
4/26/2016,82,61
4/27/2016,61,57
4/28/2016,73,57
4/29/2016,79,57
4/30/2016,79,59
5/1/2016,82,57
5/2/2016,90,64
5/3/2016,91,68
5/4/2016,90,70
5/5/2016,95,70
5/6/2016,95,72
5/7/2016,93,73
5/8/2016,91,75
5/9/2016,91,75
5/10/2016,91,73
5/11/2016,91,73
5/12/2016,91,73
5/13/2016,88,68
5/14/2016,90,75
5/15/2016,97,73
5/16/2016,91,75
5/17/2016,82,63
5/18/2016,73,68
5/19/2016,79,64
5/20/2016,90,70
5/21/2016,79,72
5/22/2016,75,68
5/23/2016,75,64
5/24/2016,82,61
5/25/2016,91,64
5/26/2016,93,70
5/27/2016,86,73
5/28/2016,81,68
5/29/2016,73,63
5/30/2016,91,64
5/31/2016,88,72
6/1/2016,93,72
6/2/2016,93,70
6/3/2016,84,72
6/4/2016,91,72
6/5/2016,91,75
6/6/2016,91,75
6/7/2016,77,68
6/8/2016,72,64
6/9/2016,79,61
6/10/2016,77,63
6/11/2016,73,63
6/12/2016,75,57
6/13/2016,81,54
6/14/2016,88,57
6/15/2016,91,63
6/16/2016,93,68
6/17/2016,90,66
6/18/2016,82,64
6/19/2016,81,64
6/20/2016,84,64
6/21/2016,73,64
6/22/2016,72,64
6/23/2016,84,61
6/24/2016,95,64
6/25/2016,97,64
6/26/2016,93,64
6/27/2016,79,64
6/28/2016,73,59
6/29/2016,86,61
6/30/2016,93,63
7/1/2016,93,61
7/2/2016,95,64
7/3/2016,93,64
7/4/2016,93,63
7/5/2016,93,64
7/6/2016,84,64
7/7/2016,79,61
7/8/2016,93,63
7/9/2016,97,66
7/10/2016,99,68
7/11/2016,99,66
7/12/2016,99,68
7/13/2016,99,68
